userid,username,firstname,lastname,city,state,email,phone,likesports,liketheatre,likeconcerts,likejazz,likeclassical,likeopera,likerock,likevegas,likebroadway,likemusicals
1,JSG99FHE,Rafael,Taylor,Kent,WA,Etiam.laoreet.libero@sodalesMaurisblandit.edu,(664) 602-4412,True,True,,False,True,,,True,False,True
2,PGL08LJI,Vladimir,Humphrey,Murfreesboro,SK,Suspendisse.tristique@nonnisiAenean.edu,(783) 492-1886,,,,True,True,,,True,False,True
3,IFT66TXU,Lars,Ratliff,High Point,ME,amet.faucibus.ut@condimentumegetvolutpat.ca,(624) 767-2465,True,False,,False,,False,True,,,True
4,XDZ38RDD,Barry,Roy,Omaha,AB,sed@lacusUtnec.ca,(355) 452-8168,False,True,,False,,,,,,False
5,AEB55QTM,Reagan,Hodge,Forest Lake,NS,Cum@accumsan.com,(476) 519-9131,,,True,False,,,True,True,False,True
6,NDQ15VBM,Victor,Hernandez,Naperville,GA,turpis@accumsanlaoreet.org,(818) 765-4255,False,,,True,,True,True,True,True,True
7,OWY35QYB,Tamekah,Juarez,Moultrie,WV,elementum@semperpretiumneque.ca,(297) 875-7247,,,,True,True,False,,,False,False
8,AZG78YIP,Colton,Roy,Guayama,AK,ullamcorper.nisl@Cras.edu,(998) 934-9210,,,True,True,,True,False,,False,False
9,MSD36KVR,Mufutau,Watkins,Port Orford,MD,Integer.mollis.Integer@tristiquealiquet.org,(725) 719-7670,True,False,,False,True,,,,False,True
10,WKW41AIW,Naida,Calderon,Waterbury,MB,Donec.fringilla@sodalesat.org,(197) 726-8249,False,False,False,,False,True,,True,,
11,MFN29TYU,Anika,Huff,Rawlins,MT,arcu.Curabitur@senectusetnetus.com,(419) 147-8207,,,,True,,True,,,,
12,FVK28WAS,Bruce,Beck,Kona,OH,ac@velit.ca,(617) 527-9908,,,False,,,False,,,,
13,QTF33MCG,Henry,Cochran,Bossier City,QC,Aliquam.vulputate.ullamcorper@amalesuada.org,(783) 105-0989,,True,,,,,True,True,True,
